"timeStamp","plate","description","created","totalDue","paid","scannedTime"
"Mon Feb 18 2019 10:42:43 GMT-0400 (Venezuela Time)","PCS614","","Mon Feb 18 2019 10:42:43 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 10:43:50 GMT-0400 (Venezuela Time)","PDG4248","","Mon Feb 18 2019 10:43:50 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 10:44:24 GMT-0400 (Venezuela Time)","PCU3783","","Mon Feb 18 2019 10:44:24 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 10:44:42 GMT-0400 (Venezuela Time)","TCM2222","","Mon Feb 18 2019 10:44:42 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 10:46:17 GMT-0400 (Venezuela Time)","PDA2160","","Mon Feb 18 2019 10:46:17 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 10:49:51 GMT-0400 (Venezuela Time)","PBZ6220","","Mon Feb 18 2019 10:49:51 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 10:53:33 GMT-0400 (Venezuela Time)","PBR4449","","Mon Feb 18 2019 10:53:33 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 10:53:55 GMT-0400 (Venezuela Time)","PCK7883","","Mon Feb 18 2019 10:53:55 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 10:54:23 GMT-0400 (Venezuela Time)","PBE4071","","Mon Feb 18 2019 10:54:23 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 10:54:42 GMT-0400 (Venezuela Time)","PCC7006","","Mon Feb 18 2019 10:54:42 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 10:55:45 GMT-0400 (Venezuela Time)","PCZ7718","","Mon Feb 18 2019 10:55:45 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 10:56:14 GMT-0400 (Venezuela Time)","PBU4868","","Mon Feb 18 2019 10:56:14 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 10:56:57 GMT-0400 (Venezuela Time)","PAX2831","","Mon Feb 18 2019 10:56:57 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 10:57:18 GMT-0400 (Venezuela Time)","PBT8857","","Mon Feb 18 2019 10:57:18 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 10:57:46 GMT-0400 (Venezuela Time)","PCN9970","","Mon Feb 18 2019 10:57:46 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 10:58:33 GMT-0400 (Venezuela Time)","PDD7660","","Mon Feb 18 2019 10:58:33 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 11:01:50 GMT-0400 (Venezuela Time)","PDS9445","","Mon Feb 18 2019 11:01:50 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 11:02:31 GMT-0400 (Venezuela Time)","PBJ1298","","Mon Feb 18 2019 11:02:31 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 11:02:49 GMT-0400 (Venezuela Time)","PCF1637","","Mon Feb 18 2019 11:02:49 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 11:04:06 GMT-0400 (Venezuela Time)","PDH8475","","Mon Feb 18 2019 11:04:06 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 11:05:21 GMT-0400 (Venezuela Time)","PDH2531","","Mon Feb 18 2019 11:05:21 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 11:05:42 GMT-0400 (Venezuela Time)","PBR849","","Mon Feb 18 2019 11:05:42 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 11:10:06 GMT-0400 (Venezuela Time)","PBT7928","","Mon Feb 18 2019 11:10:06 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 11:10:36 GMT-0400 (Venezuela Time)","PDH6053","","Mon Feb 18 2019 11:10:36 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 11:11:52 GMT-0400 (Venezuela Time)","PBT7928","","Mon Feb 18 2019 11:11:52 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 11:12:32 GMT-0400 (Venezuela Time)","PDE4317","","Mon Feb 18 2019 11:12:32 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 11:13:20 GMT-0400 (Venezuela Time)","PBD7060","","Mon Feb 18 2019 11:13:20 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 11:14:01 GMT-0400 (Venezuela Time)","PCS614","","Mon Feb 18 2019 11:14:01 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 11:14:20 GMT-0400 (Venezuela Time)","PDM6767","","Mon Feb 18 2019 11:14:20 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 11:14:34 GMT-0400 (Venezuela Time)","PCX2017","","Mon Feb 18 2019 11:14:34 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 11:15:19 GMT-0400 (Venezuela Time)","PCF5126","","Mon Feb 18 2019 11:15:19 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 11:15:47 GMT-0400 (Venezuela Time)","PDM1086","","Mon Feb 18 2019 11:15:47 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 11:16:29 GMT-0400 (Venezuela Time)","PBN3326","","Mon Feb 18 2019 11:16:29 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 11:16:53 GMT-0400 (Venezuela Time)","TCN8695","","Mon Feb 18 2019 11:16:53 GMT-0400 (Venezuela Time)","","",""
"Mon Feb 18 2019 11:17:20 GMT-0400 (Venezuela Time)","PDD2664","","Mon Feb 18 2019 11:17:20 GMT-0400 (Venezuela Time)","","",""
